isin,name,ticker,source
AU0000336679,Guzman Y Gomez,GYG.AX,openfigi
AU0000338311,AuMega Metals Ltd. Registered Shares o.N.,AAM.AX,openfigi
AU0000340770,Amotiv,AOV.AX,openfigi
AU0000355000,Arika Resources,ARI.AX,openfigi
AU0000355588,Vault Minerals,VAU.AX,openfigi
AU0000357261,Neurizon Therapeutics,NUZ.AX,openfigi
AU0000364754,SGH Limited,SGH.AX,openfigi
AU0000365348,New Murchison Gold,NMG.AX,openfigi
AU0000368748,New Frontier Minerals,NFM.AX,openfigi
AU0000369753,NH3 Clean Energy Ltd. Registered Shares o.N.,NH3.AX,openfigi
AU0000373201,Underwood Capital,UWC.AX,openfigi
AU0000397705,Greatland Rescources Ltd. Registered Shares o.N.,GGP.AX,openfigi
AU0000400616,Virgin Australia Holdings,VGN.AX,openfigi
AU0000413254,Fortuna Metals Ltd. Registered Shares o.N.,FUN.AX,openfigi
AU0000421851,Elevra Lithium Ltd. Registered Shares o.N.,ELV.AX,openfigi
AU0000421893,Prairie Lithium Ltd. Registered Shares o.N.,PL9.AX,openfigi
AU0000434920,Regal Part.Global Investm.Ltd. Registered Shares o.N.,RG1.AX,openfigi
BE0003592038,Compagnie du Bois Sauvage SA,COMB,openfigi
BE0003656676,Recticel,RECT,openfigi
BE0003717312,Sofina,SOF,openfigi
BE0003739530,UCB,UCB,openfigi
BE0003748622,IEP Invest NV,IEP,openfigi
BE0003773877,Softimat,SOFT,openfigi
BE0003816338,Euronav,CMBT,openfigi
BE0003818359,Galapagos,GLPG,openfigi
BE0003820371,EVS Broadcast,EVS,openfigi
BE0003847648,Flowsparks,FLSP,openfigi
BE0003870871,Banimmo SA,BANI,openfigi
BE0160342011,COIL,ALCOI.PA,openfigi
BE0948608451,Photonike Capital,MLPHO.PA,openfigi
BE0974265945,FLUXYS Belgium,FLUX,openfigi
BE0974293251,Anheuser Busch InBev,ABI,openfigi
BE0974299316,Invibes Advertising,ALINV.PA,openfigi
BE0974310428,X-FAB Silicon Foundries,XFAB.PA,openfigi
BE0974320526,Umicore,UMI,openfigi
BE0974334667,Llama Group,ALWIN.PA,openfigi
BE0974358906,Nyxoah,NYXH,openfigi
BE0974362940,Barco,BAR,openfigi
BE6360403164,Titan America Actions Nom. o.N.,TTAM,openfigi
BG1100003166,Shelly Group,SLYG.DE,openfigi
BMG0171W1055,Alibaba Pictures Group,1060.HK,openfigi
BMG0585R1060,Assured Guaranty,AGO,openfigi
BMG0772R2087,The Bank of N.T.Butterfield & Son,NTB,openfigi
BMG1368B1028,Brilliance China Automotive,CBA,openfigi
BMG1466R1732,Borr Drilling,BORR,openfigi
BMG174341047,Brookfield Wealth Soluti. Ltd. Reg.Shs.Class A,BNT,openfigi
BMG1985B1138,CC Land Holdings,1224.HK,openfigi
BMG202981087,CGN New Energy,1811.HK,openfigi
BMG210821051,China Yuchai International,CYD,openfigi
BMG2113B1081,China Resources Gas,1193.HK,openfigi
BMG216341294,China Ecotourism Group,1371.HK,openfigi
BMG2164J1099,China Youzan,8083.HK,openfigi
BMG2178K1009,CK Infrastructure,1038.HK,openfigi
BMG2233G2014,CMBC Capital,1141.HK,openfigi
BMG243851091,Conduit Holdings,CRE.L,openfigi
BMG2442N1048,Cosco Shipping Ports,1199.HK,openfigi
BMG2519Y1084,Credicorp,BAP,openfigi
BMG3156P1032,ASA Gold&Precious Metals Ltd. Registered Shares DL 1,ASA,openfigi
BMG359472021,Flex LNG,FLNG,openfigi
BMG3602E1084,Flow Traders,FLOW,openfigi
BMG4209G2077,Gulf Keystone Petroleum,GKP.L,openfigi
BMG427061046,Hamilton Insurance Group,HG,openfigi
BMG455841020,HAL Trust,HAL,openfigi
BMG4660A1036,Himalaya shipping,HSHP,openfigi
BMG4R86G1074,Gold Reserve,GDRZF,openfigi
BMG507361001,Jardine Matheson,JAR.L,openfigi
BMG570071099,Luye Pharma Grp,2186.HK,openfigi
BMG611881019,Liberty Global,LBTYA,openfigi
BMG611881274,Liberty Global Ltd. Registered Shares C DL o.N.,LBTYK,openfigi
BMG6331P1041,Alpha & Omega Semiconductor,AOSL,openfigi
BMG657731060,Nordic American Tankers,NAT,openfigi
BMG684371393,Pacific Basin Shipping,2343.HK,openfigi
BMG6964L2062,Paysafe,PSFE,openfigi
BMG702782084,Petra Diamonds,PDL.L,openfigi
BMG709641044,PINE Technology,1079.HK,openfigi
BMG7403L1046,Realord Group Holdings,1196.HK,openfigi
BMG8063F1068,Shangri-La Asia,SGA,openfigi
BMG8192H1060,SiriusPoint,SPNT,openfigi
BMG8196H1280,Sing Tao News,1105.HK,openfigi
BMG8571C2494,Suncorp Technologies,1063.HK,openfigi
